GAMECODE,GAME_ID,SEASON
20171206/SACCLE,21700353,2017
20171206/CHIIND,21700354,2017
20171206/ATLORL,21700355,2017
20171206/DALBOS,21700356,2017
20171206/MEMNYK,21700357,2017
20171206/GSWCHA,21700358,2017
20171206/DETMIL,21700359,2017
20171206/DENNOP,21700360,2017
20171206/MIASAS,21700361,2017
20171206/MINLAC,21700362,2017
20171207/LALPHI,21700363,2017
20171207/WASPHX,21700364,2017
20171207/OKCBKN,21700365,2017
20171207/HOUUTA,21700366,2017
20171208/CHICHA,21700367,2017
20171208/GSWDET,21700368,2017
20171208/CLEIND,21700369,2017
20171208/DENORL,21700370,2017
20171208/TORMEM,21700371,2017
20171208/DALMIL,21700372,2017
20171208/SACNOP,21700373,2017
20171208/BOSSAS,21700374,2017
20171209/WASLAC,21700375,2017
20171209/MIABKN,21700376,2017
20171209/LALCHA,21700377,2017
20171209/ORLATL,21700378,2017
20171209/PHICLE,21700379,2017
20171209/NYKCHI,21700380,2017
20171209/UTAMIL,21700381,2017
20171209/OKCMEM,21700382,2017
20171209/SASPHX,21700383,2017
20171209/HOUPOR,21700384,2017
20171210/TORSAC,21700385,2017
20171210/BOSDET,21700386,2017
20171210/DENIND,21700387,2017
20171210/DALMIN,21700388,2017
20171210/PHINOP,21700389,2017
20171210/ATLNYK,21700390,2017
20171211/BOSCHI,21700391,2017
20171211/NOPHOU,21700392,2017
20171211/MIAMEM,21700393,2017
20171211/CHAOKC,21700394,2017
20171211/PORGSW,21700395,2017
20171211/TORLAC,21700396,2017
20171212/ATLCLE,21700397,2017
20171212/DENDET,21700398,2017
20171212/LALNYK,21700399,2017
20171212/WASBKN,21700400,2017
20171212/PHIMIN,21700401,2017
20171212/SASDAL,21700402,2017
20171212/PHXSAC,21700403,2017
20171213/OKCIND,21700404,2017
20171213/LACORL,21700405,2017
20171213/MEMWAS,21700406,2017
20171213/DENBOS,21700407,2017
20171213/PORMIA,21700408,2017
20171213/UTACHI,21700409,2017
20171213/MILNOP,21700410,2017
20171213/TORPHX,21700411,2017
20171213/CHAHOU,21700412,2017
20171214/DETATL,21700413,2017
20171214/NYKBKN,21700414,2017
20171214/LALCLE,21700415,2017
20171214/SACMIN,21700416,2017
20171214/DALGSW,21700417,2017
20171215/MIACHA,21700418,2017
20171215/DETIND,21700419,2017
20171215/PORORL,21700420,2017
20171215/OKCPHI,21700421,2017
20171215/LACWAS,21700422,2017
20171215/UTABOS,21700423,2017
20171215/BKNTOR,21700424,2017
20171215/ATLMEM,21700425,2017
20171215/CHIMIL,21700426,2017
20171215/NOPDEN,21700427,2017
20171215/SASHOU,21700428,2017
20171216/PORCHA,21700429,2017
20171216/UTACLE,21700430,2017
20171216/OKCNYK,21700431,2017
20171216/LACMIA,21700432,2017
20171216/MILHOU,21700433,2017
20171216/PHXMIN,21700434,2017
20171216/DALSAS,21700435,2017
20171216/BOSMEM,21700436,2017
20171217/SACTOR,21700437,2017
20171217/ORLDET,21700438,2017
20171217/INDBKN,21700439,2017
20171217/CLEWAS,21700440,2017
20171218/NYKCHA,21700441,2017
20171218/BOSIND,21700442,2017
20171218/MIAATL,21700443,2017
20171218/PHICHI,21700444,2017
20171218/UTAHOU,21700445,2017
20171218/PORMIN,21700446,2017
20171218/DENOKC,21700447,2017
20171218/PHXDAL,21700448,2017
20171218/LACSAS,21700449,2017
20171218/GSWLAL,21700450,2017
20171219/SACPHI,21700451,2017
20171219/NOPWAS,21700452,2017
20171219/CLEMIL,21700453,2017
20171220/TORCHA,21700454,2017
20171220/INDATL,21700455,2017
20171220/MIABOS,21700456,2017
20171220/SACBKN,21700457,2017
20171220/ORLCHI,21700458,2017
20171220/LALHOU,21700459,2017
20171220/UTAOKC,21700460,2017
20171220/DETDAL,21700461,2017
20171220/MINDEN,21700462,2017
20171220/SASPOR,21700463,2017
20171220/MEMGSW,21700464,2017
20171220/PHXLAC,21700465,2017
20171221/CHICLE,21700466,2017
20171221/TORPHI,21700467,2017
20171221/BOSNYK,21700468,2017
20171221/MEMPHX,21700469,2017
20171221/SASUTA,21700470,2017
20171222/NYKDET,21700471,2017
20171222/NOPORL,21700472,2017
20171222/WASBKN,21700473,2017
20171222/DALMIA,21700474,2017
20171222/LACHOU,21700475,2017
20171222/CHAMIL,21700476,2017
20171222/ATLOKC,21700477,2017
20171222/DENPOR,21700478,2017
20171222/LALGSW,21700479,2017
20171223/PHITOR,21700480,2017
20171223/MILCHA,21700481,2017
20171223/BKNIND,21700482,2017
20171223/ORLWAS,21700483,2017
20171223/DALATL,21700484,2017
20171223/CHIBOS,21700485,2017
20171223/NOPMIA,21700486,2017
20171223/LACMEM,21700487,2017
20171223/OKCUTA,21700488,2017
20171223/DENGSW,21700489,2017
20171223/MINPHX,21700490,2017
20171223/PORLAL,21700491,2017
20171223/SASSAC,21700492,2017
20171225/PHINYK,21700493,2017
20171225/CLEGSW,21700494,2017
20171225/WASBOS,21700495,2017
20171225/HOUOKC,21700496,2017
20171225/MINLAL,21700497,2017
20171226/INDDET,21700498,2017
20171226/TORDAL,21700499,2017
20171226/ORLMIA,21700500,2017
20171226/CHIMIL,21700501,2017
20171226/BKNSAS,21700502,2017
20171226/UTADEN,21700503,2017
20171226/MEMPHX,21700504,2017
20171226/SACLAC,21700505,2017
20171227/BOSCHA,21700506,2017
20171227/DALIND,21700507,2017
20171227/WASATL,21700508,2017
20171227/NYKCHI,21700509,2017
20171227/DENMIN,21700510,2017
20171227/BKNNOP,21700511,2017
20171227/TOROKC,21700512,2017
20171227/CLESAC,21700513,2017
20171227/UTAGSW,21700514,2017
20171227/MEMLAL,21700515,2017
20171228/DETORL,21700516,2017
20171228/HOUBOS,21700517,2017
20171228/MINMIL,21700518,2017
20171228/NYKSAS,21700519,2017
20171228/PHIPOR,21700520,2017
